name,email,degreeProgram,isTA?,isGrader?,isSG?,positionString,preferences,antipref,indifferent
1,email,degree,1,0,0,Teaching Assistant,"655, 315, 670, 470, 633, 625, 420, 436, 445, 482, 431, 441, 629, 411, 314, 310, 121, 206, 313, 221, 222, 312, 181, 111, 110",,"100, 200, 300, 400"
2,email,degree,1,0,0,Teaching Assistant,,"100, 200","100, 200, 300, 400"
3,email,degree,1,1,1,Teaching Assistant;Senior Grader,"100, 200",,"100, 200, 300, 400"
4,email,degree,1,0,0,Teaching Assistant,"206, 312, 110, 121, 222, 411",,"100, 200, 300, 400"
5,email,degree,1,1,0,Teaching Assistant;Grader,"221, 411, 110, 310, 222, 410, 433, 470, 606, 629, 206, 314, 441",,"100, 200, 300, 400"
6,email,degree,1,0,0,Teaching Assistant,"121, 111, 181, 110, 206, 221, 222, 310, 314, 315, 410, 420, 431, 451, 436, 438, 441, 411, 435, 462, 483, 445",600,"100, 200, 300, 400"
7,email,degree,0,1,1,Senior Grader;Grader,"221, 110, 111, 181, 206, 310, 411, 431, 436, 470, 606, 633, 670","410, 441, 462, 463, 465, 483, 611, 613, 614, 600","100, 200, 300, 400"
8,email,degree,0,1,1,Senior Grader;Grader,"110, 121, 312, 221","420, 600","100, 200, 300, 400"
9,email,degree,1,1,1,Teaching Assistant;Senior Grader,"221, 222","100, 300, 400, 600","100, 200, 300, 400"
10,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"206, 121, 110, 221, 111, 431, 222, 310, 312, 314, 315",,"100, 200, 300, 400"
11,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"313, 314, 431, 221, 411, 410, 420",,"100, 200, 300, 400"
12,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 110, 121, 221, 206, 315, 441",411,"100, 200, 300, 400"
13,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"312, 614, 410, 222, 627, 433","600, 614, 627, 400, 410, 462, 433, 411, 315, 314, 310","100, 200, 300, 400"
14,email,degree,1,0,0,Teaching Assistant,"221, 121, 111, 110",,"100, 200, 300, 400"
15,email,degree,1,0,0,Teaching Assistant,"222, 441",314,"100, 200, 300, 400"
16,email,degree,0,1,0,Grader,"411, 181, 222, 310, 314, 410, 420, 436, 441, 445, 464, 465",,"100, 200, 300, 400"
17,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"181, 221, 110, 420, 310, 411, 314, 436, 465, 470",410,"100, 200, 300, 400"
18,email,degree,0,1,0,Grader,"110, 121, 206, 221","433, 470","100, 200, 300, 400"
19,email,degree,0,1,1,Senior Grader;Grader,"111, 206, 222, 221",,"100, 200, 300, 400"
20,email,degree,0,1,1,Senior Grader;Grader,"110, 111, 121, 221, 310, 314, 411, 420, 431, 463, 470",,"100, 200, 300, 400"
21,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"420, 110, 111, 121, 181, 206, 221, 312, 313, 314, 410, 625, 633, 636",,"100, 200, 300, 400"
22,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"206, 121, 110, 111, 221, 312, 315, 431, 483",440,"100, 200, 300, 400"
23,email,degree,0,1,1,Senior Grader;Grader,"221, 121, 315",,"100, 200, 300, 400"
24,email,degree,1,0,0,Teaching Assistant,670,,"100, 200, 300, 400"
25,email,degree,1,0,0,Teaching Assistant,"110, 111, 121, 113, 181","200, 300, 400, 600","100, 200, 300, 400"
26,email,degree,1,1,0,Teaching Assistant;Grader,"221, 206","312, 314, 310","100, 200, 300, 400"
27,email,degree,1,0,0,Teaching Assistant,"629, 411",,"100, 200, 300, 400"
28,email,degree,0,1,1,Senior Grader;Grader,"606, 221, 625, 629, 636, 633, 670, 314, 411, 431","312, 441, 462, 611, 612","100, 200, 300, 400"
29,email,degree,0,1,1,Senior Grader,"111, 110, 445, 441, 470, 181",,"100, 200, 300, 400"
30,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"629, 625, 606, 411, 420, 431, 221, 310, 483, 482, 481, 470, 465, 464, 463, 462, 451, 445, 441, 438, 436, 435, 433, 410, 350, 315, 314, 313, 312, 222, 206, 181, 121, 111, 110",,"100, 200, 300, 400"
31,email,degree,1,1,0,Teaching Assistant;Grader,"312, 206, 181, 221, 350, 113, 121, 110, 111, 312, 206, 181, 221, 350, 113, 121, 110, 111, 222",,"100, 200, 300, 400"
32,email,degree,1,0,0,Teaching Assistant,"633, 606, 625",,"100, 200, 300, 400"
33,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"121, 100, 400",,"100, 200, 300, 400"
34,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"420, 222, 625, 636",,"100, 200, 300, 400"
35,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"629, 411, 625, 110, 111, 121, 181, 206, 221, 222, 312, 313, 314, 420, 431, 436, 614, 606",,"100, 200, 300, 400"
36,email,degree,1,0,0,Teaching Assistant,"606, 611, 613",314,"100, 200, 300, 400"
37,email,degree,1,0,0,Teaching Assistant,"110, 121, 221",,"100, 200, 300, 400"
38,email,degree,1,0,0,Teaching Assistant,"411, 606, 614, 625","314, 315","100, 200, 300, 400"
39,email,degree,1,0,0,Teaching Assistant,462,,"100, 200, 300, 400"
40,email,degree,1,1,0,Teaching Assistant;Grader,"435, 410, 206, 221",,"100, 200, 300, 400"
41,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 121, 221, 222, 310, 314, 410, 411, 420, 431",,"100, 200, 300, 400"
42,email,degree,1,0,0,Teaching Assistant,"629, 489, 201, 489, 500, 411, 222, 221",410,"100, 200, 300, 400"
43,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"629, 411",,"100, 200, 300, 400"
44,email,degree,1,0,0,Teaching Assistant,"655, 436, 691, 482, 222, 443","670, 614","100, 200, 300, 400"
45,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 206, 221, 310",440,"100, 200, 300, 400"
46,email,degree,0,1,1,Senior Grader;Grader,"110, 111, 121, 181, 206, 221, 312, 314, 420, 625, 636",,"100, 200, 300, 400"
47,email,degree,1,0,0,Teaching Assistant,"110, 221, 222",,"100, 200, 300, 400"
48,email,degree,1,0,0,Teaching Assistant,"482, 633, 436, 420","410, 433","100, 200, 300, 400"
49,email,degree,1,1,0,Teaching Assistant;Grader,"206, 181, 221, 110, 222, 121, 111",,"100, 200, 300, 400"
50,email,degree,1,0,0,Teaching Assistant,,,"100, 200, 300, 400"
51,email,degree,1,0,0,Teaching Assistant,"315, 482, 481, 436, 445","483, 410, 350","100, 200, 300, 400"
52,email,degree,1,0,0,Teaching Assistant,"482, 483, 481, 681",,"100, 200, 300, 400"
53,email,degree,0,1,1,Senior Grader;Grader,"113, 206, 221, 110, 111",,"100, 200, 300, 400"
54,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"489, 489, 489, 289",,"100, 200, 300, 400"
55,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"121, 436, 624, 420","400, 600","100, 200, 300, 400"
56,email,degree,1,0,0,Teaching Assistant,470,,"100, 200, 300, 400"
57,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"470, 312, 313, 410, 431","110, 111, 121, 181, 206, 221, 222, 310, 314, 433, 440, 441, 445, 451","100, 200, 300, 400"
58,email,degree,1,0,0,Teaching Assistant,"606, 629, 600, 636",,"100, 200, 300, 400"
59,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"221, 411, 222, 420, 111, 110, 312, 314, 431, 113, 350, 463","410, 434, 410","100, 200, 300, 400"
60,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"221, 222, 411, 110, 111, 312, 314, 420, 431, 463","410, 434","100, 200, 300, 400"
61,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"629, 411, 222, 221, 206, 181, 121, 111, 110",,"100, 200, 300, 400"
62,email,degree,1,0,0,Teaching Assistant,629,315,"100, 200, 300, 400"
63,email,degree,1,0,0,Teaching Assistant,"606, 629","221, 121","100, 200, 300, 400"
64,email,degree,0,1,0,Grader,"110, 111, 221, 310",,"100, 200, 300, 400"
65,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"411, 629, 636, 633","611, 613, 614, 410, 313, 412, 463, 464, 465, 312, 350, 416, 435, 456, 461, 462, 463, 469","100, 200, 300, 400"
